lon,lat,address,name,station_id
-118.25854,34.0485,723 Flower Street,7th & Flower,bcycle_lametro_3005
-118.25667,34.04554,729 S Olive Street,Olive & 8th,bcycle_lametro_3006
-118.25459,34.05048,557 S 5th Street,5th & Grand,bcycle_lametro_3007
-118.26273,34.04661,865 S Figueroa Street,Figueroa & 9th,bcycle_lametro_3008
-118.25487,34.03705,401 East 11th Street,11th & Maple,bcycle_lametro_3010
-118.26798,34.04113,1259-1299 S Figueroa Street,Figueroa & Pico,bcycle_lametro_3011
-118.26302,33.77982,128 W Anaheim St,Anaheim & Avalon,bcycle_lametro_3013
-118.23721,34.05661,834 N Alameda St,Union Station West Portal,bcycle_lametro_3014
-118.24156,34.0529,201 N Los Angeles Street,Los Angeles & Temple,bcycle_lametro_3016
-118.26014,34.04373,919 S Grand Ave,Grand & Olympic,bcycle_lametro_3018
-118.26086,34.03861,129 W 12th Street,12th & Hill,bcycle_lametro_3019
-118.26709,34.03105,1950 S Hill Street,Hill & Washington,bcycle_lametro_3020
-118.23309,34.04607,999 E Third Street,3rd & Santa Fe,bcycle_lametro_3022
-118.24097,34.05091,134 Judge John Aiso Street,1st & Judge John Aiso,bcycle_lametro_3023
-118.24897,34.05772,111 N Hope Street,Hope & 1st,bcycle_lametro_3024
-118.26808,34.03286,1014 S Grand Ave,Grand & Washington,bcycle_lametro_3025
-118.24588,34.06318,668 N Figueroa Street,Figueroa & Cesar Chavez,bcycle_lametro_3026
-118.24716,34.04998,300 S Spring Street,Spring & 3rd,bcycle_lametro_3027
-118.24609,34.05832,310 N Grand Ave,Grand & Temple,bcycle_lametro_3028
-118.24642,34.04885,334 S Main Street,Main & 4th,bcycle_lametro_3029
-118.24353,34.05194,120 S Main Street,Main & 1st,bcycle_lametro_3030
-118.25244,34.0447,201 W 7th Street,7th & Spring,bcycle_lametro_3031
-118.25588,34.04989,557 S Hope Street,Hope & 6th,bcycle_lametro_3032
-118.2558,34.04099,110 E 9th Street,Main & 9th,bcycle_lametro_3033
-118.26338,34.04206,1113 S Hope St,Hope & 11th,bcycle_lametro_3034
-118.26095,34.0484,735 S Figueroa Street,Figueroa & 8th,bcycle_lametro_3035
-118.23253,34.03919,1301 Willow Street,Willow St & Mateo St,bcycle_lametro_3036
-118.23128,34.0348,699 S Imperial St,Imperial & 7th,bcycle_lametro_3037
-118.24835,34.04682,458 S Main Street,Main & 5th,bcycle_lametro_3038
-118.26636,34.05357,1234 Wilshire Blvd,Wilshire & Witmer,bcycle_lametro_3040
-118.23881,34.0493,369 E First Street,1st & Central,bcycle_lametro_3042
-118.25667,34.02851,1850 San Pedro St,18th & San Pedro,bcycle_lametro_3045
-118.24749,34.05287,201 South Hill Street,2nd & Hill,bcycle_lametro_3046
-118.2664,34.03998,515 W Pico Street,Pico & Flower,bcycle_lametro_3047
-118.23535,34.04169,1210 East 5th Street,5th & Hewitt,bcycle_lametro_3048
-118.25359,34.05697,945 W 2nd Street,2nd & Figueroa,bcycle_lametro_3049
-118.25352,34.04542,307 W 7th Street,7th & Broadway,bcycle_lametro_3051
-118.26456,34.0511,1107 W 7th Street,7th & Bixel,bcycle_lametro_3052
-118.23649,34.03922,1245 Factory Place,Factory Place & Alameda,bcycle_lametro_3054
-118.26538,34.03746,1375 S Grand Ave,Grand & 14th,bcycle_lametro_3056
-118.27081,34.03568,512 W 18th Street,18th & Figueroa,bcycle_lametro_3057
-118.23317,34.0358,1855 Industrial Street,Industrial St & Mateo St,bcycle_lametro_3058
-118.24317,34.04775,350 E Third Street,3rd & San Pedro,bcycle_lametro_3062
-118.25374,34.04804,532 W Olive Street,Olive & 5th,bcycle_lametro_3063
-118.25698,34.04681,700 S Grand Ave,Grand & 7th,bcycle_lametro_3064
-118.23833,34.06056,725 New High Street,New High & Ord,bcycle_lametro_3065
-118.23616,34.06339,870 N Spring Street,Spring & College,bcycle_lametro_3066
-118.25024,34.04518,640 S Spring Street,Main & 6th,bcycle_lametro_3067
-118.25095,34.0532,250 S Grand Ave,Grand & 3rd,bcycle_lametro_3068
-118.24825,34.05088,303 S Broadway Street,Broadway & 3rd,bcycle_lametro_3069
-118.26117,34.04417,960 S Hope Street,Hope & Olympic,bcycle_lametro_3074
-118.25619,34.04211,900 South Broadway Street,Broadway & 9th,bcycle_lametro_3075
-118.25384,34.0406,201 East 9th Street,9th & Los Angeles,bcycle_lametro_3076
-118.25004,34.03987,517 East 8th Street,8th & Wall,bcycle_lametro_3077
-118.23894,34.06428,881 N Hill Street,Hill & College,bcycle_lametro_3078
-118.25018,34.03189,800 E 12th Street,Stanford & 12th,bcycle_lametro_3081
-118.23741,34.04652,599 Traction Ave,Traction & Rose,bcycle_lametro_3082
-118.26102,33.76666,100 E Water St,Banning's Landing,bcycle_lametro_4125
-118.28467,33.71098,3700 Shoshonean Rd,Cabrillo Beach,bcycle_lametro_4126
-118.27519,33.74892,100 Swinford St,Catalina Express,bcycle_lametro_4127
-118.28051,33.72582,110 E 22nd St,Crafted 22nd St Park,bcycle_lametro_4129
-118.28272,33.71926,30 Via Cabrillo Marina,DoubleTree Hotel,bcycle_lametro_4130
-118.27927,33.73898,110 E 6th St,Downtown Harbor,bcycle_lametro_4131
-118.28018,33.74913,199 Regan St,Fanfare Fountain,bcycle_lametro_4132
-118.27779,33.73352,1191 Nagoya Way,Ports O'Call,bcycle_lametro_4133
-118.27807,33.74136,444 S Harbor Blvd,USS IOWA,bcycle_lametro_4134
-118.26804,33.7723,512 W C St,Waterfront Park (East),bcycle_lametro_4135
-118.27654,33.77176,1206 W C St,Waterfront Park (West),bcycle_lametro_4136
-118.25873,34.07483,1610 Park Ave,Park & Echo Park,bcycle_lametro_4220
-118.27031,34.0298,2117 S Grand Ave,Grand / LATTC,bcycle_lametro_4227
-118.28341,34.02404,3451 University Ave,University & Hoover,bcycle_lametro_4245
-118.27917,34.02371,699 W 32nd Street,32nd & Figueroa,bcycle_lametro_4246
-118.28867,34.02835,1276 W 29th St,29th & Ellendale,bcycle_lametro_4248
-118.28118,34.0203,3499 S Figueroa St,Figueroa & McCarthy Way,bcycle_lametro_4249
-118.28095,34.03017,804 W Adams Blvd,Severance & Adams,bcycle_lametro_4250
-118.28411,34.02868,2817 Hoover St,Hoover & 29th,bcycle_lametro_4254
-118.27769,34.02629,613 W 28th St,28th & Figueroa,bcycle_lametro_4266
-118.28068,34.02762,737 W 28th St,28th & University,bcycle_lametro_4267
-118.2841,34.02586,3175 South Hoover Street,Hoover & 32nd,bcycle_lametro_4273
-118.2859,34.01252,Southwest Stadium Entrance,Expo Park/LAFC,bcycle_lametro_4275
